config,run,learners,fpr,fnr,fpr_under_1pct
config_fpr1_b0p3_r0p0015_q0p97.yaml,20260512_190034_config_fpr1_b0p3_r0p0015_q0p97.yaml,43,0.018966577432157964,0.045124865331297774,False
config_fpr1_b0p4_r0p0015_q0p95.yaml,20260512_190309_config_fpr1_b0p4_r0p0015_q0p95.yaml,43,0.02037899567759664,0.05519246774333549,False
config_fpr1_b0p5_r0p0015_q0p95.yaml,20260512_190635_config_fpr1_b0p5_r0p0015_q0p95.yaml,36,0.020757971441024935,0.0888532608973148,False
config_fpr1_b0p4_r0p002_q0p95.yaml,20260512_190452_config_fpr1_b0p4_r0p002_q0p95.yaml,37,0.023544022403954222,0.09817667512547804,False
config_fpr1_b0p3_r0p002_q0p97.yaml,20260512_190218_config_fpr1_b0p3_r0p002_q0p97.yaml,44,0.02792990142387733,0.08092886939561197,False
config_fpr1_b0p5_r0p002_q0p97.yaml,20260512_190909_config_fpr1_b0p5_r0p002_q0p97.yaml,45,0.03165353411254949,0.04074781338874961,False
config_fpr1_b0p5_r0p002_q0p95.yaml,20260512_190817_config_fpr1_b0p5_r0p002_q0p95.yaml,40,0.03168066840544198,0.046596647451378856,False
config_fpr1_b0p3_r0p0015_q0p95.yaml,20260512_185943_config_fpr1_b0p3_r0p0015_q0p95.yaml,38,0.0324863040257713,0.09550117180918147,False
config_fpr1_b0p3_r0p002_q0p95.yaml,20260512_190127_config_fpr1_b0p3_r0p002_q0p95.yaml,36,0.03833748762715927,0.05627875272528606,False
config_fpr1_b0p5_r0p0015_q0p97.yaml,20260512_190725_config_fpr1_b0p5_r0p0015_q0p97.yaml,43,0.04500609399285121,0.05493589514477843,False
config_fpr1_b0p4_r0p002_q0p97.yaml,20260512_190543_config_fpr1_b0p4_r0p002_q0p97.yaml,43,0.04844405414167411,0.053659414554942275,False
config_fpr1_b0p4_r0p0015_q0p97.yaml,20260512_190401_config_fpr1_b0p4_r0p0015_q0p97.yaml,38,0.051964658514762896,0.036075894429949296,False
